Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Quarter,Day,DayOfWeek,Lag_1,Lag_7,Lag_30,Rolling_Mean_7,Rolling_Mean_30,Rolling_STD_7,Rolling_STD_30,SMA_20,SMA_50,EMA_20,RSI_14,MACD,MACD_Signal,MACD_Histogram,BB_Upper,BB_Lower,BB_Width,ATR_14,Momentum_10
2002-01-03,116.156792,118.757172,114.961761,118.221794,70.64299,9018298,2002,1,1,3,3,116.156792,116.634796,109.942642,116.95847957142857,114.2367744,1.0183078994568573,3.3954742417562334,116.4507644,111.30324992,115.65682167784985,51.4092997129652,1.8773730802415969,2.2102650021912718,-0.3328919219496749,118.80580335996765,114.09572544003234,4.7100779199353155,2.099836499999998,1.3957900000000052
2002-01-04,118.594643,120.076485,118.527725,120.076485,71.751282,8791839,2002,1,1,4,4,118.221794,116.108986,110.363289,117.52526514285715,114.5605476,1.47044795926407,3.47553802663536,116.65152925,111.68164378,116.0777419942451,67.47224376622293,2.012786964471715,2.1707693946473605,-0.1579824301756454,119.49970281016849,113.8033556898315,5.696347120336981,2.0219894999999988,1.6348040000000026
2002-01-07,119.502869,120.640533,118.26004,118.594643,70.865784,6212822,2002,1,1,7,0,120.076485,117.017204,109.311661,117.75061357142859,114.86998033333334,1.5001818046530413,3.404622766717899,116.8384315,111.97762844,116.31744685193604,59.21298262066771,1.9777331020939215,2.1321621361366727,-0.1544290340427512,119.68125084998617,113.99561215001383,5.685638699972344,2.050669999999999,1.2906270000000006
2002-01-08,118.785851,119.694077,118.288719,119.216064,71.237152,5556143,2002,1,1,8,1,118.594643,118.068832,110.277245,117.91450385714286,115.16794096666668,1.6000799194691115,3.3798798109170103,117.04397649999999,112.24607965999999,116.59350562794214,60.23142947527934,1.9773030264179425,2.1011903141929267,-0.12388728777498415,119.95282503171238,114.13512796828759,5.817697063424788,2.0151612142857127,2.5812680000000086
2002-01-09,119.216064,120.831741,118.690247,119.015297,71.117149,7154535,2002,1,1,9,2,119.216064,117.495216,111.214149,118.13165828571428,115.42797923333335,1.6364282959852172,3.365264344173023,117.27485610000001,112.50095546,116.82415242528097,57.26061468249362,1.9384171035787148,2.0686356720700845,-0.1302185684913697,120.02818491112075,114.52152728887927,5.506657622241477,2.0568165714285698,2.9063110000000023
2002-01-10,118.307838,118.546844,116.080307,116.768639,69.774666,9336910,2002,1,1,10,3,119.015297,115.640533,109.177818,118.29281628571428,115.6810066,1.3867046359843358,3.1581164552217764,117.30544845,112.75946408,116.81886543239708,44.674378067010075,1.7066401201168873,1.9962365616794453,-0.28959644156255804,120.01979099551065,114.59110590448935,5.428685091021293,2.0144783571428553,-0.24856500000001347
2002-01-11,116.156792,116.806885,114.99044,115.019119,68.72924,5018499,2002,1,1,11,4,116.768639,116.156792,107.217972,118.13029157142856,115.94104483333334,1.7081809366896097,2.729303503851318,117.16730300000002,112.98240856000001,116.64746101026402,42.999417562051384,1.3660367271468914,1.8701965947729344,-0.504159867626043,120.05520350811273,114.27940249188731,5.775801016225415,2.0178931428571403,-3.049712999999997
2002-01-14,114.722755,114.808792,111.950287,112.858505,67.438171,10487928,2002,1,1,14,0,115.019119,118.221794,109.397705,117.36410742857143,116.05640483333333,2.619840537441097,2.5073089615370603,117.0621402,113.1732307,116.28660805690554,39.39883089569214,0.911258174510607,1.6784089107204692,-0.7671507362098622,120.40547590550389,113.71880449449611,6.686671411007779,2.11486114285714,-4.636711000000005
2002-01-15,112.858505,114.435944,112.543022,113.623329,67.895203,5907703,2002,1,1,15,1,112.858505,120.076485,110.506691,116.442228,116.16029276666667,2.641615227016451,2.3275568212450666,116.95458784999998,113.34455012000001,116.03296243243834,43.1144255073327,0.6055770842740742,1.46384254543119,-0.8582654611571159,120.59733783674568,113.31183786325428,7.285499973491397,2.155833214285713,-2.0172040000000067
2002-01-16,112.810707,113.527725,112.093689,112.237091,67.066887,5613150,2002,1,1,16,2,113.623329,118.594643,109.110901,115.53400628571428,116.26449910000001,2.8619633740398474,2.055102321074046,116.76625130000002,113.49560176000001,115.67145086744421,37.10013453863804,0.24859910093462645,1.2207938565318774,-0.972194755597251,120.96329632992061,112.56920627007943,8.394090059841176,2.1114464999999987,-3.919700999999989
